key,cn,en,zh-tw
report.gamereport_bethistory,"投注记录","Bet Record","投注记录"
report.accreport,"帐号报表","Account Report","帐号报表"
report.accreport_withdrawdeposit,"帐号充提报表","Account Deposit Report","帐号充提报表"
report.accreport_transaction,"帐号帐变报表","Account Transaction Changes Report","帐号帐变报表"
report.agentreport,"代理統計報表","Agent Statistics Report","代理統計報表"
report.div,"月結方案","Monthly Program","月結方案"
report.div_setting,"月結分紅配置","Monthly Bonus Setting","月結分紅配置"
report.div_commissionplan,"方案列表","Program List","方案列表"
report.div_validmemberplan,"有效会员列表","Effective Member List","有效会员列表"
report.div_report,"月結分紅報表","Monthly Bonus Report","月結分紅報表"
report.stat680,"680数据统计","680 Statistics","680数据统计"
report.stat680_platform,"平台总数据","Platform Data Summary","平台总数据"
report.stat680_new,"新增留存统计","New Retention Statistics","新增留存统计"
report.stat680_deposit,"充值留存统计","Deposit Retention Statistics","充值留存统计"
report.stat680_firstdeposit,"首存留存统计","First Deposit Retention Statistics","首存留存统计"
report.stat680_firstdepositbet,"首充投注留存统计","First Deposit-Bet Retention Statistics","首充投注留存统计"
report.stat680_depositrepeat,"充值复存统计","Deposit-Repeat Withdrawal Statistics","充值复存统计"
report.stat680_newdepositrepeat,"新增充值复存统计","New Recharge Retention Statistics","新增充值复存统计"
report.stat680_giveaway,"平台赠送数据","Platform Bonus Statistics","平台赠送数据"
report.stat680_depositquery,"充值查询订单","Deposit Query Order ","充值查询订单"
report.stat680_specify,"指定用户留存查询","Designated User Retention Query","指定用户留存查询"
finance_TEXT,"财务管理","Finanical","财务管理"
finance.deposit,"充值管理","Deposit Management","充值管理"
finance.withdraw,"提款管理","Withdrawal Management","提款管理"
finance.depositchannel,"充值渠道管理","Deposit Channel Management","充值渠道管理"
finance.withdrawchannel,"提款渠道管理","Withdrawal Channel Management","提款渠道管理"
operation_TEXT,"运营管理","Operation","运营管理"
operation.advertisement,"广告管理","Advertisement Management","广告管理"
operation.promotion,"代理推广","Agent Promotion","代理推广"
operation.transfer,"并线与移转","Merge and Migration","并线与移转"
operation.announcement,"公告管理","Announcement Management","公告管理"
operation.announcementtag,"公告标签","Announcement Tag","公告标签"
operation.help,"帮助中心","Help Center","帮助中心"
operation.questionanswer,"常见问题","FAQs","常见问题"
moneymgt_TEXT,"资金管理","Fund Management","资金管理"
log_TEXT,"日志管理","Log","日志管理"
log.accountlogin,"登录日志","Login Log","登录日志"
log.accountregister,"注册日志","Registration Log","注册日志"
log.accountactivity,"操作日志","Operation Log","操作日志"
log.vendorapicall,"接口日志","Port Log","接口日志"
log.adminactivity,"管理员日志","Admin Log","管理员日志"
riskcontrol_TEXT,"风控管理","Risk","风控管理"
riskcontrol.warning,"预警列表","General Alert List","预警列表"
riskcontrol.warning_condition.second,"秒","second(s)","秒"
riskcontrol.warning_condition.minute,"分","minute(s)","分"
riskcontrol.warning_condition.hour,"时","hour(s)","时"
riskcontrol.warning_condition.day,"天","day(s)","天"
riskcontrol.warning_condition.AccountsLoginPerIpExceedsWithin,"$1 内，相同IP登录> $2 个账号","Within $1, same IP login > $2 account(s)","$1 内，相同IP登录> $2 个账号"
riskcontrol.warning_condition.AccountsLoginPerDeviceExceedsWithin,"$1 内，相同设备号登录 > $2 个账号","Within $1 , same device number > $2 account(s)","$1 内，相同设备号登录 > $2 个账号"
riskcontrol.warning_condition.AccountsRegisterPerIpExceedsWithin,"$1 内，相同IP注册 > $2 个账号","Within $1, same IP registration > $2 account(s)","$1 内，相同IP注册 > $2 个账号"
riskcontrol.warning_condition.AccountsRegisterPerDeviceExceedsWithin,"$1 内，相同设备号注册 > $2 个账号","Within $1, same device number registration > $2 account(s)","$1 内，相同设备号注册 > $2 个账号"
riskcontrol.warning_condition.IpsLoginsPerAccountExceedsWithin,"$1 内，单一账号被 > $2 个IP登录过","Within $1 , a single account has been logged in by > $2 IP(s)","$1 内，单一账号被 > $2 个IP登录过"
riskcontrol.warning_condition.DevicesLoginsPerAccountExceedsWithin,"$1 内，单一账号被 > $2 个设备号登录过","Within $1, a single account has been logged in by > $2 device number(s)","$1 内，单一账号被 > $2 个设备号登录过"
riskcontrol.warning_condition.BetRatioAndWinAmountExceeds,"赔率 > $1 倍且 中奖金额 > $2 元","Odds > $1 times and winning amount > $2","赔率 > $1 倍且 中奖金额 > $2 元"
riskcontrol.warning_condition.BetRatioOrWinAmountExceeds,"赔率 > $1 倍或 中奖金额 > $2 元","Odds > $1 times or winning amount > $2","赔率 > $1 倍或 中奖金额 > $2 元"
riskcontrol.warning_condition.TotalDepositWithdrawAmountRatioExceeds,"充提金额比例 > $1 %","Ratio of deposit/withdrawal amount > $1 %","充提金额比例 > $1 %"
riskcontrol.warning_condition.TotalDepositWithdrawCountRatioExceeds,"充提次数比例 > $1 倍","Ratio of deposit/withdrawal count > $1 times","充提次数比例 > $1 倍"
riskcontrol.warning_condition.TotalWithdrawDepositCountRatioExceeds,"提充次數比例超過 > $1 %","Ratio of withdrawal/deposit count > $1 %","提充次數比例超過 > $1 %"
riskcontrol.warning_condition.BetDepositRatioLowerThan,"流水比例 < $1 %","Actual bet amount ratio  < $1 %","流水比例 < $1 %"
riskcontrol.warning_condition.RebateAmountExceeds,"返水金额 > $1 元","Rebate amount > $1 ","返水金额 > $1 元"
riskcontrol.warning_condition.CensorAutopassCountExceedsWithin,"$1 秒内，系统自动过审 > $2 次","Within $1, system auto audit > $2 number of time(s)","$1 秒内，系统自动过审 > $2 次"
riskcontrol.warning_condition.TotalTransferCountExceeds,"转账次数 > $1 次","Number of Transfers > $1 number of time(s)","转账次数 > $1 次"
riskcontrol.warning_condition.FailedDepositCountExceedsWithin,"$1 内，充值不到账 > $2 次","Within $1, number of time(s) of Failure to Deposit > $2 ","$1 内，充值不到账 > $2 次"
riskcontrol.warning_condition.DepositAttemptNamesExceedsWithin,"$1 内，尝试使用 > $2 个姓名充值","Within $1 , attempted deposit > $2 names to deposit","$1 内，尝试使用 > $2 个姓名充值"
riskcontrol.warning_condition.ConsecutiveDepositCountAndAmountExceeds,"只充值不提款 > $1 次，且充值金额累积 > $2 元","Only deposit but not withdraw > $1 time(s), and the accumulated amount of deposit is > $2 ","只充值不提款 > $1 次，且充值金额累积 > $2 元"
riskcontrol.warning_condition.ConsecutiveWithdrawCountAndAmountExceeds,"只提款不充值超過 > $1 次，且提款金額累積達到 > $2 元","Only withdraw but not deposit > $2 time(s), and the accumulated amount of withdrawal is > $2 ","只提款不充值超過 > $1 次，且提款金額累積達到 > $2 元"
riskcontrol.warning_condition.TotalProfitAmountExceeds,"盈利金额 > $1 元","Profit amount > $1 ","盈利金额 > $1 元"
riskcontrol.warning_condition.WinPercentageExceedsWithin,"最近1个月中奖率 > $1 %","Winning rate in the last month > $1 %","最近1个月中奖率 > $1 %"
riskcontrol.warning_condition.WithdrawAmountExceeds,"单笔提现金额 > $1 元","Single withdrawal amount > $1 ","单笔提现金额 > $1 元"
riskcontrol.warning_condition.TotalWithdrawAmountExceeds,"历史总提现金额 > $1 元","Historical total withdrawal amount > $1 ","历史总提现金额 > $1 元"
riskcontrol.warning_condition.WithdrawAmountExceedsPerFrame,"当日总提现金额 > $1 元","Total withdrawal amount of the day > $1 ","当日总提现金额 > $1 元"
riskcontrol.warning_condition.TotalWithdrawDepositAmountRatioExceeds,"历史总提现金额 > 历史总充值金额的 $1 倍","Historical total withdrawal amount > $1 times of historical total deposit amount","历史总提现金额 > 历史总充值金额的 $1 倍"
riskcontrol.warning_condition.TotalWithdrawBetAmountRatioExceeds,"历史总提现金额 > 历史总投注金额的 $1 倍","Historical total withdrawal amount > $1 times of historical total bet amount","历史总提现金额 > 历史总投注金额的 $1 倍"
riskcontrol.warning_condition.WithdrawLastDepositAmountRatioExceeds,"单笔提现金额 > 最近一笔充值金额的 $1 倍","Single withdrawal amount > $1 times of the most recent deposit amount","单笔提现金额 > 最近一笔充值金额的 $1 倍"
riskcontrol.warning_condition.ConsecutiveBetOnSameBetTypeCountExceeds,"连续下注单一彩种或游戏的同一个盘口 > $1 次","Consecutive bets on a single lottery or game with the same handicap > $1 times","连续下注单一彩种或游戏的同一个盘口 > $1 次"
riskcontrol.warning_condition.SameIpSameGameBetCountExceeds,"相同IP登录的账号下注相同的彩种或游戏 > $1 次","Bet on the same lottery or game with the same IP account > $1 times","相同IP登录的账号下注相同的彩种或游戏 > $1 次"
riskcontrol.warning_condition.AverageBetAmountExceedsWithin,"最近24小时平均投注金额 > $1 元","Average bet amount in the last 24 hours > $1 ","最近24小时平均投注金额 > $1 元"
riskcontrol.warning_condition.BetOrWithdrawFromInactiveMember,"> $1 天未操作的用户进行投注或提现操作","Users who haven't bet or withdrawn for > $1 day(s)","> $1 天未操作的用户进行投注或提现操作"
riskcontrol.warning_condition.ProfitTopPerFrame,"今日盈利前 $1 名用户","Top $1 users with today's profit","今日盈利前 $1 名用户"
riskcontrol.warning_condition.ProfitTopWithin,"过去30天盈利前 $1 名用户","Top $1 users with profit in the last 30 days","过去30天盈利前 $1 名用户"
riskcontrol.warning_condition.WithdrawFromInsecureAccount,"提现前 >= $1 天内修改过密码、密保、安全密码、\n银行卡账号信息、收管地址信息(包含当日)","Users who have changed their passwords, PINs, security codes, bank account information, and shipping address information within >= $1 days before withdrawal (including the current day).","提现前 >= $1 天内修改过密码、密保、安全密码、\n银行卡账号信息、收管地址信息(包含当日)"
riskcontrol.warning_condition.WithdrawToDifferentName,"与上次提现的银行账号户名不一致","The account name of your bank account is not the same as the last time you withdrew","与上次提现的银行账号户名不一致"
riskcontrol.warning_condition.Frozen,"账号已被冻结","Account has been frozen","账号已被冻结"
riskcontrol.warning_condition.LoginRegisterDifferentLocation,"注册IP、登录IP的归属地均不相同","Registered IPs and logged in IPs have different destinations.","注册IP、登录IP的归属地均不相同"
riskcontrol.common,"通用","General","通用"
riskcontrol.game,"游戏","Game","游戏"
riskcontrol.accountfreeze,"冻结与解冻","Freeze & Unfreeze","冻结与解冻"
riskcontrol.withdrawapproval,"提款审核","Withdrawal Audit","提款审核"
riskcontrol.blacklist,"黑名单管理","Blacklist Management","黑名单管理"
riskcontrol.blacklist_blacklistip,"IP黑名单","IP Blacklist","IP黑名单"
riskcontrol.blacklist_blacklistdevice,"设备号黑名单","Device Number Blacklist","设备号黑名单"
riskcontrol.blacklist_blacklistbankaccount,"银行卡黑名单","Bank Card Number Blacklist","银行卡黑名单"
riskcontrol.blacklist_blacklistcryptowallet,"钱包地址黑名单","Wallet Address Blacklist","钱包地址黑名单"
riskcontrol.blacklist_blacklistgame,"游戏黑名单","Game Category Blacklist","游戏黑名单"
riskcontrol.blacklist_blacklistevent,"活动黑名单","Event Blacklist","活动黑名单"
riskcontrol.approval,"审核管理","Audit Management","审核管理"
riskcontrol.approval_manualdepositapproval,"人工充值","Manual Deposit","人工充值"
riskcontrol.approval_manualwithdrawapproval,"人工提款","Manual Withdrawal","人工提款"
riskcontrol.approval_manualtransferapproval,"人工转账","Manual Transfer","人工转账"
riskcontrol.approval_infochangeapproval,"修改基本信息","Modify Basic Information","修改基本信息"
riskcontrol.approval_eventbonusapproval,"活动奖金","Event Bonus","活动奖金"
riskcontrol.approval_monthlydividendapproval,"月结分红","Monthly Bonus","月结分红"
riskcontrol.blackliststatusenable,"已拉黑","Blacklisted","已拉黑"
riskcontrol.blackliststatusdisable,"正常","Normal","正常"
modal.notification,"提示","Notice","提示"
modal.tabelaction.batchstop,"是否批量停用【$1】？","Are you sure you want to batch disable【$1】？","是否批量停用【$1】？"
modal.tabelaction.batchdelete,"是否批量刪除 【$1】？","Are you sure you want to batch delete 【$1】？","是否批量刪除 【$1】？"
modal.validation.password,"必须为长度8-20内英文/数字/符号","Must contain 8-20 letters/ numbers/ symbols","必须为长度8-20内英文/数字/符号"
modal.validation.account,"必须为长度6-16内英文/数字，并以英文开头","Must contain 6-16 letters/numbers, and start with letter","必须为长度6-16内英文/数字，并以英文开头"
modal.validation.name,"必须为长度3以上中文英文/数字","Must contain at least 3 Chinese words/ English letters/ numbers","必须为长度3以上中文英文/数字"
modal.validation.name2,"必须为长度2以上中文英文/数字","Must contain at least 2 Chinese words/ English letters/ numbers","必须为长度2以上中文英文/数字"
modal.validation.remark,"必须为长度1-100内","Must contain within 1-100","必须为长度1-100内"
modal.validation.amount,"必须为长度1以上数字","Number must contain at least 1 characters long","必须为长度1以上数字"
modal.validation.url,"格式错误","Wrong Format","格式错误"
modal.validation.selectone,"请选择一项项目","Please select an item first","请选择一项项目"
modal.validation.selectoneormore,"请最少选择一项项目","Please select at least one item","请最少选择一项项目"
modal.validation.noempty,"输入项不能为空","It cannot be blank","输入项不能为空"
modal.validation.general,"请检查输入项","Please check for the input","请检查输入项"
modal.validation.wrongFilePath,"请上载图片","Please upload image","请上载图片"
modal.validation.mustBeGreaterThan,"必须为大於 {{value}} 数字","Must be a number greater than {{value}} ","必须为大於 {{value}} 数字"
modal.validation.mustBeSmallerThan,"必须为小於 {{value}} 数字","Must be a number smaller than {{value}} ","必须为小於 {{value}} 数字"
modal.validation.EQUAL0,"请检查输入项必须大于0","Please check for the number that must be greater than 0 ","请检查输入项必须大于0"
common.active,"启用","Enable","启用"
common.disable,"停用","Disable","停用"
common.bo,"后台","Backoffice","后台"
common.agentBO,"代理后台","Agent Backoffice","代理后台"
common.client,"客户端","Client Site","客户端"
common.fields.true,"启用","Enable","启用"
common.fields.false,"停用","Disable","停用"
common.fields.on,"启用","Enable","启用"
common.fields.off,"停用","Disable","停用"
common.fields.bo,"后台","Backoffice","后台"
common.fields.client,"客戶端","Client Site","客戶端"
common.fields.agentbo,"代理后台","Agent Backoffice","代理后台"
common.fields.Pending,"待处理","Pending For Processing","待处理"
common.fields.Handled,"已处理","Processed","已处理"
common.fields.Closed,"關閉","Off","關閉"
common.fields.FreezeNoLogin,"不可登录","Unable to Login","不可登录"
common.fields.FreezeNoTransaction,"资金冻结","Frozen Deposit","资金冻结"
common.fields.FreezeNoTransactionButBet,"只可投注","Bet Only","只可投注"
common.fields.Manual_Deposit,"人工充值","Manual Deposit","人工充值"
common.fields.Manual_Withdraw,"人工提现","Manual Withdrawal","人工提现"
common.fields.Manual_Giveaway,"贈送彩金","Manual Withdrawal","贈送彩金"
common.fields.Normal,"正常","Normal","正常"
common.fields.NoLogin,"不可登录","Unable to Login","不可登录"
common.fields.NoTransaction,"资金冻结","Frozen Deposit","资金冻结"
common.fields.NoTransactionButBet,"只可投注","Bet Only","只可投注"
permissions.read,"查看","View","查看"
permissions.view,"查看","View","查看"
permissions.create,"新增","Add","新增"
permissions.edit,"編輯","Edit","編輯"
permissions.full,"全部","All","全部"
permissions.delete,"刪除","Delete","刪除"
permissions.disable,"停用","Disable","停用"
permissions.enable,"啟用","Enable","啟用"
permissions.batchedit,"批量編輯","Batch Edit","批量編輯"
permissions.batchcreate,"批量新增","Batch Add","批量新增"
permissions.batchdisable,"批量停用","Batch Disable","批量停用"
permissions.batchenable,"批量啟用","Batch Enable","批量啟用"
permissions.batchdelete,"批量刪除","Batch Delete","批量刪除"
permissions.readpermission,"查看權限","Permissions","查看權限"
permissions.export,"導出","Export","導出"
permissions.resetpassword,"重置密碼","Reset Password","重置密碼"
permissions.kick,"一鍵踢線","Click to Forced Logout","一鍵踢線"
permissions.turnback,"一鍵轉回","Click to Revert","一鍵轉回"
permissions.editplatform,"分配平台","Assign Opt Site","分配平台"
permissions.editstatus,"编辑场馆","Edit Venue","编辑场馆"
permissions.readattachment,"查看憑證","Proof","查看憑證"
permissions.reject,"拒绝","Rejected","拒绝"
permissions.batchreject,"批量拒绝","Batch Reject","批量拒绝"
permissions.accept,"通过","Approved","通过"
permissions.batchaccept,"批量通过","Batch Approval","批量通过"
permissions.assignagent,"分配代理","Assign Agent","分配代理"
permissions.editinvitecode,"编辑邀请码","Edit Invitation Code","编辑邀请码"
permissions.listhistory,"編輯日誌","Edit Log","編輯日誌"
permissions.editagent,"分配代理","Assign Agent","分配代理"
permissions.editmember,"分配会员","Assign Member","分配会员"
permissions.approve,"人工審核","Manual Review","人工審核"
permissions.bank,"公司卡","Corporate Card","公司卡"
permissions.distributeagent,"分配代理","Assign Agent","分配代理"
permissions.distributemember,"分配会员","Assign Member","分配会员"
permissions.distributeplatform,"分配现合网","Assign Opt Site","分配现合网"
permissions.editchannel,"编辑渠道","Edit Channel","编辑渠道"
permissions.viewsetting,"查看参数","Parameter","查看参数"
permissions.editsetting,"编辑参数","Edit Parameter","编辑参数"
permissions.listtrigger,"查看触发","View Triggers","查看触发"
permissions.sendfinance,"派发","Release","派发"
permissions.sendrisk,"审核","Reviewing","审核"
country.AFG,"阿富汗","Afghanistan","阿富汗"
country.ALB,"阿尔巴尼亚","Albania","阿尔巴尼亚"
country.DZA,"阿尔及利亚","Algeria","阿尔及利亚"
country.AND,"安道尔","Andorra","安道尔"
country.AGO,"安哥拉","Angola","安哥拉"
country.ATG,"安提瓜和巴布达","Antigua and Barbuda","安提瓜和巴布达"
country.ARG,"阿根廷","Argentina","阿根廷"
country.ARM,"亚美尼亚","Armenia","亚美尼亚"
country.AUS,"澳大利亚","Australia","澳大利亚"
country.AUT,"奥地利","Austria","奥地利"
country.AZE,"阿塞拜疆","Azerbaijan","阿塞拜疆"
country.BHS,"巴哈马","Bahamas","巴哈马"
country.BHR,"巴林","Bahrain","巴林"
country.BGD,"孟加拉","Bangladesh","孟加拉"
country.BRB,"巴巴多斯","Barbados","巴巴多斯"
country.BLR,"白俄罗斯","Belarus","白俄罗斯"
country.BEL,"比利时","Belgium","比利时"
country.BLZ,"贝里斯","Belize","贝里斯"
country.BEN,"贝宁","Benin","贝宁"
country.BTN,"不丹","Bhutan","不丹"
country.BOL,"玻利维亚","Bolivia","玻利维亚"
country.BIH,"波斯尼亚和黑塞哥维那","Bosnia and Herzegovina","波斯尼亚和黑塞哥维那"
country.BWA,"博茨瓦纳","Botswana","博茨瓦纳"
